"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","22pF","",""
"2","C3, C9, C11, C12","4","1uF","",""
"3","C4","1","4.7uF","",""
"4","C5, C7, C10","3","100nF","",""
"5","C6","1","4.7u","",""
"6","C8, C13","2","10uF","",""
"7","D1, D2, D3, D4","4","LL4148","Diode_SMD:D_MiniMELF",""
"8","D5, D6","2","LED","",""
"9","F1","1","600mA","",""
"10","IC1","1","LMR54406FDBVR","SOT95P280X145-6N",""
"11","J1","1","Conn_02x07_Counter_Clockwise","",""
"12","J2, J8, J9, J10","4","Screw_Terminal_01x02","",""
"13","J3, J4, J5, J6","4","Screw_Terminal_01x03","",""
"14","J7","1","Barrel_Jack","",""
"15","J11","1","Conn_01x06","",""
"16","K1, K2, K3, K4","4","PE014024","PE014024",""
"17","L1","1","12uH","",""
"18","Q5, Q6, Q7, Q8","4","MMBT3904","Package_TO_SOT_SMD:SOT-23",""
"19","R1, R2, R3, R4, R8, R10, R14, R16, R27, R28, R29, R30","12","10K","",""
"20","R5","1","69K8","",""
"21","R6","1","22K1","",""
"22","R7, R9, R11, R12, R13, R15, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26","16","470R","",""
"23","R31","1","47R","",""
"24","R32","1","100R","",""
"25","SW1","1","SW_Push","",""
"26","U1","1","ATmega32A-A","Package_QFP:TQFP-44_10x10mm_P0.8mm",""
"27","U2","1","ESP8266-12E_ESP-12E","ESP8266-12E_ESP-12E:XCVR_ESP8266-12E_ESP-12E",""
"28","U3, U4","2","LTV-844","Package_DIP:DIP-16_W7.62mm",""
"29","Y1","1","8MHz","",""
